"drug","target","moa"
"CIL55","","screening hit"
"BRD4132","","screening hit"
"BRD6340","","screening hit"
"BRD9876","","screening hit"
"betulinic acid","","natural product; inhibitor of specificity protein 1 transcription factor in cells"
"gossypol","BCL2;BCL2L1;LDHA;LDHB;LDHC","inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members"
"chlorambucil","","DNA alkylator"
"fluorouracil","TYMS","pyrimidine analog; inhibitor of thymidylate synthase"
"cimetidine","HRH2","inhibitor of histidine receptor H2"
"azacitidine","DNMT1","inhibitor of DNA methyltransferase"
"trifluoperazine","DRD2","antagonist of dopamine receptor D2"
"paclitaxel","","inhibitor of microtubule assembly"
"tamoxifen","ESR1;ESR2","modulator of estrogen receptors"
"carboplatin","","inducer of DNA damage"
"teniposide","TOP2A;TOP2B","inhibitor of topoisomerase II"
"sildenafil","PDE5A","inhibitor of phosphodiesterase 5A"
"simvastatin","HMGCR","inhibitor of HMG-CoA reductase"
"parbendazole","","inhibitor of microtubule assembly"
"procarbazine","","inducer of DNA damage"
"curcumin","","natural product; modulator of ROS; modulator of NF-kappa-B signaling"
"ciclopirox","RRM1","substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase"
"epigallocatechin-3-monogallate","","natural product"
"myricetin","","flavonoid antioxidant"
"methotrexate","DHFR","inhibitor of dihydrofolate reductase"
"lovastatin","HMGCR","inhibitor of HMG-CoA reductase"
"valdecoxib","PTGS2","inhibitor of cyclooxygenase-2 (COX2)"
"dacarbazine","","DNA alkylator"
"prochlorperazine","DRD2","inhibitor of dopamine receptor D2"
"ifosfamide","","DNA alkylator"
"doxorubicin","TOP2A","inhibitor of topoisomerase II"
"ouabain","ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4","cardiac glycoside; inhibitor of the Na+/K+-ATPase"
"BRD9647","","screening hit"
"piperlongumine","","natural product; modulator of ROS levels"
"pyrazolanthrone","MAPK10;MAPK8;MAPK9","inhibitor of Jun N-terminal kinase (JNK) 1/2/3"
"C6-ceramide","MAPK1;PPP2CA;UGCG","inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A"
"topotecan","TOP1","inhibitor of topoisomerase I"
"importazole","KPNB1","inhibitor of importin"
"etoposide","TOP2A","inhibitor of topoisomerase II"
"PRIMA-1","TP53","re-activator of the pro-apoptotic activity of mutant p53"
"tanespimycin","HSP90AA1","inhibitor of HSP90"
"blebbistatin","MYH1;MYH2","inhibitor of myosin II ATPases"
"cytochalasin B","","inhibitor of actin polymerization"
"NSC95397","CDC25A;CDC25B;CDC25C","inhibitor of cell division cycle 25 phosphatase (CDC25)"
"manumycin A","FNTA;FNTB","inhibitor of RAS farnesyltransferase"
"mitomycin","","DNA crosslinker"
"tacrolimus","PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2","inhibitor of calcineurin"
"SB-431542","TGFBR1","inhibitor of the transforming growth factor beta type 1 receptor"
"staurosporine","","inhibitor of multiple kinases"
"SB-225002","CXCR2","inhibitor of chemokine receptor 2"
"cerulenin","FASN;HMGCS1","inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase"
"purmorphamine","SMO","activator of smoothened receptor"
"GSK-3 inhibitor IX","","inhibitor of JAK/STAT signaling"
"dasatinib","EPHA2;KIT;LCK;SRC;YES1","inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK"
"erlotinib","EGFR;ERBB2","inhibitor of EGFR and HER2"
"BRD-K94991378","","inducer of ROS"
"LBH-589","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"IC-87114","PIK3CD","inhibitor of PI3K catalytic subunit delta"
"ciclosporin","PPID","inhibitor of calcineurin by binding to cyclophilin D"
"sirolimus","MTOR","inhibitor of mTOR"
"KU-55933","ATM","inhibitor of ataxia telangiectasia mutated (ATM)"
"sitagliptin","DPP4","inhibitor of dipetidyl peptidase-4"
"PDMP","UGCG","inhibitor of ceramide glucosyltransferase"
"BRD-K71935468","","inducer of ROS"
"entinostat","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"BEC","ARG1;ARG2","inhibitor of arginase I and II"
"apicidin","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"Merck60","HDAC1;HDAC2","inhibitor of HDAC1 and HDAC2"
"BRD-A94377914","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"FGIN-1-27","TSPO","activator of peripheral benzodiazepine receptor/translocator protein"
"compound 1B","","screening hit"
"vincristine","","inhibitor of mictrotubule assembly"
"cytarabine hydrochloride","","inducer of DNA damage"
"itraconazole","","anti-fungal agent; inhibitor of hedgehog signaling pathway"
"erastin","SLC7A11;VDAC1;VDAC2","modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11"
"ML031","S1PR2","inhibitor of sphingosine 1-phosphate receptor 2"
"CIL56","","screening hit"
"FQI-1","","inhibitor of LSF1-mediated transcription"
"BRD-K92856060","","screening hit"
"B02","RAD51","inhibitor of RAD51"
"BRD-K45681478","","product of diversity oriented synthesis; screening hit"
"ML050","GPER1","antagonist of GPR30"
"ML162","","selectively kills engineered cells expressing mutant HRAS"
"CIL41","","screening hit"
"NSC30930","SRD5A2","inhibitor of steroid 5-alpha reductase"
"CIL70","","screening hit"
"MI-1","MEN1","binder of menin; inhibitor of menin-MLL fusion protein"
"DBeQ","VCP","inhibitor of p97 in cells"
"ML083","PKM","activator of muscle pyruvate kinase"
"CID-5951923","KLF5","modulator of KLF5 expression"
"IU1","USP14","inhibitor of the deubiquitinase activity of USP14"
"ML311","MCL1","inhibitor of MCL1"
"imatinib","ABL1;BCR;KIT","inhibitor of BCR-ABL1 and c-KIT"
"decitabine","DNMT1","inhibitor of DNA methyltransferase"
"CHIR-99021","GSK3B","inhibitor of GSK3 beta"
"BI-2536","PLK1","inhibitor of polo-like kinase 1 (PLK1)"
"BRD-K61166597","","inhibitor of HDAC1 and HDAC2"
"GW-843682X","PLK1;PLK3","inhibitor of PLK1 and PLK3"
"vandetanib","EGFR;KDR","inhibitor of VEGFR2 and EGFR"
"sorafenib","BRAF;FLT3;KDR;RAF1","inhibitor of BRAF, CRAF, and VEGFR2"
"temozolomide","","DNA alkylator"
"QW-BI-011","EHMT2","inhibitor of G9a histone methyltransferase"
"SNX-2112","HSP90AA1;HSP90B1","inhibitor of HSP90alpha and HSP90beta"
"bexarotene","RXRA;RXRB;RXRG","inhibitor of retinoid X receptors"
"nilotinib","ABL1;BCR;KIT","inhibitor of ABL1, BCR, and c-KIT"
"sunitinib","FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB","inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
"bendamustine","","DNA alkylator"
"CD-437","RARG","agonist of retinoic acid receptor gamma"
"SCH-79797","F2R","antagonist of proteinase-activated receptor 1 (PAR1)"
"LE-135","RARB","antagonist of retinoic acid receptor beta"
"SKI-II","SPHK1","inhibitor of sphingosine kinase 1"
"Platin","","DNA alkylator; organoplatinum reagent"
"GW-405833","CNR2","partial agonist of cannabinoid receptor 2"
"AC55649","RARB","agonist of retinoic acid receptor beta"
"RITA","MDM2;TP53","inhibitor of p53-MDM2 interaction"
"LY-2183240","FAAH","inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake"
"CD-1530","RARG","agonist of retinoic acid receptor gamma"
"TPCA-1","IKBKB","inhibitor of IKK-2"
"NSC632839","USP13;USP5","inhibitor of ubiquitin isopeptidase"
"pifithrin-mu","HSPA1A;HSPA1B;HSPA1L;TP53","inhibitor of p53 binding to mitochondria; inhibitor of HSP70"
"SN-38","TOP1","metabolite of irinotecan; inhibitor of topoisomerase I"
"BRD-K80183349","HDAC1;HDAC2","inhibitor of HDAC1 and HDAC2"
"BRD-K66532283","HDAC1;HDAC2","inhibitor of HDAC1 and HDAC2"
"MK-2206","AKT1","inhibitor of AKT1"
"triazolothiadiazine","PDE4A;PDE4B;PDE4D","inhibitor of phosphdiesterase 4A/B/D"
"BRD-K66453893","","product of diversity oriented synthesis"
"BRD-K11533227","HDAC1;HDAC2","inhibitor of HDAC1 and HDAC2"
"BRD-K27224038","","product of diversity oriented synthesis"
"BRD-K14844214","","product of diversity oriented synthesis"
"BRD1835","EZH2","product of diversity oriented synthesis; screening hit"
"BRD-K41597374","","product of diversity oriented synthesis"
"BRD-K63431240","","product of diversity oriented synthesis; screening hit"
"BRD-K13999467","","product of diversity oriented synthesis"
"BRD-K96970199","","product of diversity oriented synthesis"
"brefeldin A","ARF1","modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi"
"AGK-2","SIRT2","inhibitor of sirtuin 2"
"L-685458","APH1A;NCSTN;PSEN1;PSENEN","inhibitor of gamma-secretase"
"PF-750","FAAH","inhibitor of fatty acid amide hydrolase"
"triptolide","","natural product; inhibitor of RNA polymerase II"
"nutlin-3","MDM2","inhibitor of p53-MDM2 interaction"
"16-beta-bromoandrosterone","","dehydroepiandrosterone (DHEA) analog"
"PRL-3 inhibitor I","PTP4A3","inhibitor of phosphatase of regenerating liver-3 (PRL3)"
"SID 26681509","CTSL1","inhibitor of cathepsin L"
"neuronal differentiation inducer III","","induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity"
"NSC 74859","STAT3","inhibitor of STAT3"
"bortezomib","PSMB1;PSMB2;PSMB5;PSMD1;PSMD2","inhibitor of 26S proteasome"
"ABT-737","BCL2;BCL2L1;BCL2L2","inhibitor of BCL2, BCL-xL, and BCL-W"
"zebularine","DNMT1","inhibitor of DNA methyltransferases"
"PI-103","MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC","inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K"
"tubastatin A","HDAC6","inhibitor of tubulin deacetylase activity of HDAC6"
"SR-II-138A","EIF4A2;EIF4E;EIF4G1","silvestrol analog; inhibits translation by modulating the eIF4F complex"
"neopeltolide","","inhibitor of cellular respiration"
"parthenolide","","natural product; modulator of ROS; modulator of NF-kappa-B signaling"
"Compound 7d-cis","XPO1","inhibitor of CRM1-mediated nucleocytoplasmic transport"
"pevonedistat","NAE1","inhibitor of Nedd-8 activating enzyme"
"AZD7545","PDK2","inhibitor of pyruvate dehydrogenase kinase 2"
"VER-155008","HSPA1A;HSPA1B;HSPA1L","inhibitor of HSP70"
"ML203","PKM","activator of muscle pyruvate kinase (PKM2)"
"SRT-1720","SIRT1","activator of sirtuin-1"
"CAY10594","PLD2","inhibitor of phospholipase D2"
"Compound 1541A","CASP3;CASP6;CASP7","activators of executioner procaspases 3, 6, and 7"
"RG-108","DNMT1","inhibitor of DNA methyltransferase"
"PAC-1","CASP3","activator of procaspase-3"
"GMX-1778","NAMPT","inhibitor of nicotinamide phosphoribosyltransferase"
"gemcitabine","CMPK1;RRM1;TYMS","inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
"MST-312","TERT","inhibitor of telomerase reverse transcriptase"
"olaparib","PARP1;PARP2","inhibitor of poly (ADP-ribose) polymerase 1 and 2"
"oligomycin A","ATP5L2","inhibitor of mitochondrial ATP synthase"
"indisulam","CA9","inhibitor of carbonic anhydrase isoform IX"
"BRD-K49290616","","product of diversity oriented synthesis"
"BRD-K02492147","","product of diversity oriented synthesis"
"austocystin D","","natural product; inducer of DNA damage"
"SJ-172550","MDM2;TP53","inhibitor of p53-MDM2 interaction"
"pandacostat","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"BRD-K96431673","","product of diversity oriented synthesis"
"cyanoquinoline 11","MAP3K8","inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells"
"tipifarnib-P2","FNTA","inhibitor of farnesyltransferase"
"tipifarnib-P1","FNTA","inhibitor of farnesyltransferase"
"Compound 23 citrate","","analog of natural product cortistatin"
"nakiterpiosin","","natural product; inhibitor of microtubule assembly"
"CCT036477","","inhibitor of WNT signaling by blocking beta-catenin transcription"
"tamatinib","SYK","inhibitor of spleen tyrosine kinase"
"myriocin","SPTLC1;SPTLC2;SPTLC3","inhibitor of serine palmitoyltransferase"
"YM-155","BIRC5","inhibitor of survivin expression"
"BMS-754807","IGF1R","inhibitor of insulin-like growth factor 1 receptor and insulin receptor"
"BIBR-1532","TERT","inhibitor of telomerase reverse transcriptase"
"neratinib","EGFR;ERBB2","inhibitor of EGFR and HER2"
"BRD1812","","screening hit"
"BRD8958","EP300","inhibitor of E1A binding protein p300"
"serdemetan","MDM2","inhibitor of MDM2"
"daporinad","NAMPT","inhibitor of nicotinamide phosphoribosyltransferase"
"MK-1775","WEE1","inhibitor of WEE1"
"tivozanib","FLT1;FLT3;KDR","inhibitor of VEGFRs"
"Ko-143","ABCG2","inhibitor of breast cancer resistance protein multidrug transporter (BCRP)"
"CR-1-31B","EIF4A2;EIF4E;EIF4G1","silvestrol analog; inhibits translation by modulating the eIF4F complex"
"BRD-K71781559","","screening hit"
"BRD-K86535717","","product of diversity oriented synthesis"
"BRD-K48334597","","product of diversity oriented synthesis"
"ML312","SCARB1","inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake"
"BRD-K04800985","","product of diversity oriented synthesis"
"BRD-K78574327","","product of diversity oriented synthesis"
"BRD-K19103580","","product of diversity oriented synthesis"
"BRD-K30019337","","product of diversity oriented synthesis"
"BRD-K84807411","","product of diversity oriented synthesis"
"BRD-K44224150","","product of diversity oriented synthesis"
"BRD-K75293299","","product of diversity oriented synthesis"
"BRD-K64610608","","product of diversity oriented synthesis; screening hit"
"BRD-K02251932","","product of diversity oriented synthesis"
"BRD-K55116708","","product of diversity oriented synthesis; inhibitor of leukemic stem cells"
"BRD-K41334119","","product of diversity oriented synthesis"
"BRD-K34485477","","product of diversity oriented synthesis"
"BRD-K16147474","","product of diversity oriented synthesis"
"BRD-K29086754","","product of diversity oriented synthesis"
"BRD-K33199242","","product of diversity oriented synthesis"
"BRD-K52037352","","product of diversity oriented synthesis"
"BRD-K27986637","","product of diversity oriented synthesis; screening hit"
"BRD-K37390332","","product of diversity oriented synthesis"
"fulvestrant","ESR1;GPER1","antagonist of the estrogen receptor"
"HLI 373","MDM2","inhibitor of MDM2"
"NSC48300","TASP1","inhibitor of threonine endopeptidase taspase 1"
"PRIMA-1-Met","TP53","re-activator of the pro-apoptotic activity of mutant p53"
"isoevodiamine","","natural product"
"UNC0638","EHMT1;EHMT2","inhibitor of EHMT2 and GLP methyltransferase"
"cucurbitacin I","","natural product; modulator of NFKB1 and STAT3 signaling"
"BRD-K50799972","","product of diversity oriented synthesis"
"BRD-K17060750","","product of diversity oriented synthesis"
"linifanib","FLT1;FLT3;KDR","inhibitor of VEGFRs"
"veliparib","PARP1;PARP2","inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)"
"saracatinib","ABL1;SRC","inhibitor of SRC and ABL1"
"afatinib","EGFR;ERBB2","inhibitor of EGFR and HER2"
"canertinib","EGFR;ERBB2","inhibitor of EGFR and HER2"
"obatoclax","BCL2;BCL2L1;MCL1","inhibitor of MCL1, BCL2, and BCL-xL"
"masitinib","KIT;PDGFRA;PDGFRB","inhibitor of c-KIT, PDGFRA, and PDGFRB"
"ZSTK474","PIK3CB;PIK3CD;PIK3CG","inhibitor of PI3K catalytic subunits beta, delta, and gamma"
"brivanib","FLT1;KDR","inhibitor of VEGFR 1/2"
"GDC-0879","BRAF","inhibitor of BRAF"
"NVP-TAE684","ALK","inhibitor of ALK and ALK-NPM fusion protein"
"SNS-032","CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5","inhibitor of cyclin-dependent kinases"
"PLX-4720","BRAF","inhibitor of BRAF"
"TGX-221","PIK3CB","inhibitor of PI3K catalytic subunit beta"
"KU-0063794","MTOR","inhibitor of mTOR"
"SU11274","MET","inhibitor of MET"
"BRD-K88742110","HDAC8","inhibitor of HDAC8"
"BRD8899","STK33","inhibitor of serine/threonine kinasase STK33"
"EX-527","SIRT1","inhibitor of sirtuin 1"
"ELCPK","","screening hit"
"NPC-26","","induces cell death through a non-apoptotic, mitochondrial-dependent mechanism"
"1S,3R-RSL-3","GPX4","synthetic lethal with HRAS in engineered cells; inhibitor of GPX4"
"CIL55A","","screening hit"
"SCH-529074","TP53","activator of mutant p53"
"StemRegenin 1","AHR","inhibitor of aryl hydrocarbon receptor"
"FQI-2","","inhibitor of LSF1-mediated transcription"
"ML210","","selectively kills engineered cells expressing mutant HRAS"
"darinaparsin","","inducer of ROS; inhibitor of microtubule assembly"
"PX-12","TXN","inhibitor of thioredoxin-1"
"GANT-61","","inhibitor of hedgehog signaling pathway"
"PL-DI","","dimer of piperlongumine; inducer of ROS"
"TW-37","BCL2;BCL2L1","inhibitor of BCL2 and BCL-xL"
"AZD8055","MTOR","inhibitor of mTOR"
"CHM-1","","inhibitor of tubulin polymerization"
"QS-11","ARFGAP1","inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)"
"ML239","","ML239; inhibitor of breast cancer stem cell proliferation"
"fumonisin B1","CERS1;CERS2;CERS3;CERS4;CERS5;CERS6","inhibitor of ceramide synthase"
"JQ-1","BRDT","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins"
"BRD-K51490254","HDAC6;HDAC8","inhibitor of HDAC6 and HDAC8"
"BRD-K85133207","HDAC1","inhibitor of HDAC1"
"CAY10576","IKBKE","inhibitor of IKK-epsilon"
"Repligen 136","HDAC3","inhibitor of HDAC3"
"nintedanib","FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB","inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs"
"foretinib","KDR;MET","inhibitor of MET and VEGFR2"
"regorafenib","BRAF;KDR;KIT;RET","inhibitor of BRAF, RET, KIT, and VEGFR2"
"WZ8040","EGFR","inhibitor of EGFR targeting T790M resistance"
"OSI-930","KDR;KIT","inhibitor of c-KIT and VEGFR2"
"MGCD-265","FLT1;FLT3;KDR;MET","inhibitor of c-MET and VEGFRs"
"lenvatinib","FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB","inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
"YK 4-279","DHX9;ERG;ETV1","inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity"
"CAY10618","NAMPT","inhibitor of nicotinamide phosphoribosyltransferase"
"KU 0060648","PRKDC","inhibitor of DNA-dependent protein kinase"
"narciclasine","RHOA","activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling"
"MLN2238","PSMB5","inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site"
"ISOX","HDAC6","inhibitor of HDAC6"
"BRD-K29313308","HDAC3","inhibitor of HDAC3"
"UNC0321","EHMT2","inhibitor of G9a histone methyltransferase"
"SGX-523","MET","inhibitor of MET"
"erismodegib","","screening hit"
"alisertib","AURKA;AURKB","inhibitor of aurora kinases A and B"
"AZD6482","PIK3CB;PIK3CD","inhibitor of PI3K catalytic subunits beta and delta"
"ruxolitinib","JAK1;JAK2","inhibitor of Janus kinases 1 and 2"
"bleomycin A2","","inducer of DNA damage"
"GDC-0941","PIK3CA;PIK3CB;PIK3CD;PIK3CG","inhibitor of PI3K kinase activity"
"SB-525334","TGFBR1","inhibitor of the transforming growth factor beta type 1 receptor"
"PHA-793887","CDK1;CDK2;CDK4;CDK5;CDK7;CDK9","inhibitor of cyclin-dependent kinases"
"quizartinib","FLT3","inhibtor of VEGFR3"
"fingolimod","S1PR1","inhibitor of sphingosine 1-phosphate receptor"
"pazopanib","FLT1;FLT3;KDR;KIT;PDGFRB","inhibitor of VEGFRs, c-KIT, and PDGFRB"
"BRD-K24690302","HDAC1","inhibitor of HDAC1"
"BRD-K70511574","PLK1","inhibitor of polo-like kinase 1 (PLK1)"
"PLX-4032","BRAF","inhibitor of BRAF"
"GSK461364","PLK1","inhibitor of polo-like kinase 1 (PLK1)"
"BRD-K20514654","","stapled helical peptide"
"BRD-K28456706","HNF4A","inhibitor of hepatocyte nuclear factor 4 alpha"
"STF-31","NAMPT","inhibitor of nicotinamide phosphoribosyltransferase"
"spautin-1","USP10;USP13","inhibitor of the deubiquitinase activity of USP13 and USP10"
"BRD-A02303741","DOT1L","inhibitor of histone methyltransferases"
"ML320","GSK3B","inhibitor of GSK3 beta"
