"drug","target","moa"
"tigecycline","","analog of tetracycline"
"BRD-K34099515","","screening hit"
"PF-543","SPHK1","inhibitor of sphingosine kinase-1"
"PF-573228","PTK2","inhibitor of focal adhesion kinase"
"ceranib-2","ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B","inhibitor of ceramidase activity"
"FSC231","PICK1","inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)"
"968","GLS","inhibitor of glutaminase"
"GSK4112","NR1D1","antagonist of Rev-ErbAalpha"
"etomoxir","CPT1A","inhibitor of carnitine palmitoyltransferase"
"HC-067047","TRPV4","inhibitor of cation channel TRPV4"
"IPR-456","PLAUR","inhibitor of the interaction of urokinase receptor with binding partners"
"leptomycin B","XPO1","inhibitor of exportin 1"
"AZ-3146","TTK","inhibitor of TTK protein kinase"
"VU0155056","PLD1;PLD2","inhibitor of phospholipase D1/D2"
"JQ-1:UNC0638 (2:1 mol/mol)","BRDT;EHMT1;EHMT2","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of EHMT2 and GLP methyltransferase"
"vorinostat:carboplatin (1:1 mol/mol)","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inducer of DNA damage"
"serdemetan:SCH-529074 (1:1 mol/mol)","MDM2;TP53","inhibitor of MDM2;activator of mutant p53"
"selumetinib:PLX-4032 (8:1 mol/mol)","MAP2K1;MAP2K2;BRAF","inhibitor of MEK1 and MEK2;inhibitor of BRAF"
"sirolimus:bortezomib (250:1 mol/mol)","MTOR;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2","inhibitor of mTOR;inhibitor of 26S proteasome"
"BRD-K97651142","","aphrocallistin derivative"
"vorapaxar","F2R","antagonist of proteinase-activated receptor 1 (PAR1)"
"Ch-55","RARA;RARB;RARG","agonist of retinoid acid receptors"
"BRD-K79669418","MDM2;MDM4","inhibitor of MDM4-p53 interaction"
"BRD-K99584050","","stapled helical peptide"
"BRD-A71883111","IDH1","putative inhibitor of IDH1 R132H"
"navitoclax:birinapant (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2;DIABLO;XIAP","inhibitor of BCL2, BCL-xL, and BCL-W;SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)"
"ISOX:bortezomib (250:1 mol/mol)","HDAC6;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2","inhibitor of HDAC6;inhibitor of 26S proteasome"
"selumetinib:GDC-0941 (4:1 mol/mol)","MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG","inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity"
"selumetinib:tretinoin (2:1 mol/mol)","MAP2K1;MAP2K2;RARA;RARB;RARG","inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors"
"selumetinib:vorinostat (8:1 mol/mol)","MAP2K1;MAP2K2;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"selumetinib:BRD-A02303741 (4:1 mol/mol)","MAP2K1;MAP2K2;DOT1L","inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases"
"tretinoin:navitoclax (4:1 mol/mol)","RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2","agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W"
"decitabine:navitoclax (2:1 mol/mol)","DNMT1;BCL2;BCL2L1;BCL2L2","inhibitor of DNA methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W"
"tretinoin:carboplatin (2:1 mol/mol)","RARA;RARB;RARG","agonist of retinoid acid receptors;inducer of DNA damage"
"necrostatin-7","","inhibitor of necroptosis"
"PYR-41","UBA1","inhibitor of ubiquitin-activating enzyme in cells"
"I-BET151","BRD2;BRD3;BRD4","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins"
"lomeguatrib","MGMT","inhibitor of methylguanine-DNA methyltransferase"
"tanespimycin:gemcitabine (1:1 mol/mol)","HSP90AA1;CMPK1;RRM1;TYMS","inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
"docetaxel:tanespimycin (2:1 mol/mol)","HSP90AA1","inhibitor of microtubule assembly;inhibitor of HSP90"
"selumetinib:MK-2206 (8:1 mol/mol)","MAP2K1;MAP2K2;AKT1","inhibitor of MEK1 and MEK2;inhibitor of AKT1"
"navitoclax:PLX-4032 (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2;BRAF","inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF"
"selumetinib:piperlongumine (8:1 mol/mol)","MAP2K1;MAP2K2","inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels"
"tanespimycin:bortezomib (250:1 mol/mol)","HSP90AA1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2","inhibitor of HSP90;inhibitor of 26S proteasome"
"navitoclax:MST-312 (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2;TERT","inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of telomerase reverse transcriptase"
"carboplatin:etoposide (40:17 mol/mol)","TOP2A","inducer of DNA damage;inhibitor of topoisomerase II"
"piperlongumine:MST-312 (1:1 mol/mol)","TERT","natural product; modulator of ROS levels;inhibitor of telomerase reverse transcriptase"
"navitoclax:gemcitabine (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2;CMPK1;RRM1;TYMS","inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
"JW-480","NCEH1","inhibitor of serine hydrolase enzyme NCEH"
"BMS-195614","RARA;RARB;RARG","antagonist of retinoic acid receptors"
"BRD-K07442505","BAX","stapled helical peptide activating BAX"
"BRD-K35604418","MCL1","inhibitor of MCL1"
"SB-743921","KIF11","inhibitor of kinesin 11"
"GSK525762A","BRD2;BRD3;BRD4","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins"
"navitoclax:pluripotin (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2;MAPK1;RASAL1","inhibitor of BCL2, BCL-xL, and BCL-W;promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK"
"JQ-1:carboplatin (1:1 mol/mol)","BRDT","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage"
"selumetinib:navitoclax (8:1 mol/mol)","MAP2K1;MAP2K2;BCL2;BCL2L1;BCL2L2","inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W"
"selumetinib:decitabine (4:1 mol/mol)","MAP2K1;MAP2K2;DNMT1","inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase"
"SNX-2112:bortezomib (250:1 mol/mol)","HSP90AA1;HSP90B1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2","inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome"
"JQ-1:MK-0752 (1:1 mol/mol)","BRDT;APH1A;NCSTN;PSEN1;PSENEN","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase"
"BRD-A02303741:navitoclax (2:1 mol/mol)","DOT1L;BCL2;BCL2L1;BCL2L2","inhibitor of histone methyltransferases;inhibitor of BCL2, BCL-xL, and BCL-W"
"salermide:PLX-4032 (12:1 mol/mol)","SIRT1;SIRT2;BRAF","inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF"
"UNC0638:navitoclax (1:1 mol/mol)","EHMT1;EHMT2;BCL2;BCL2L1;BCL2L2","inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W"
"BRD-A02303741:carboplatin (1:1 mol/mol)","DOT1L","inhibitor of histone methyltransferases;inducer of DNA damage"
"doxorubicin:navitoclax (2:1 mol/mol)","TOP2A;BCL2;BCL2L1;BCL2L2","inhibitor of topoisomerase II;inhibitor of BCL2, BCL-xL, and BCL-W"
"selumetinib:UNC0638 (4:1 mol/mol)","MAP2K1;MAP2K2;EHMT1;EHMT2","inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase"
"alisertib:navitoclax (2:1 mol/mol)","AURKA;AURKB;BCL2;BCL2L1;BCL2L2","inhibitor of aurora kinases A and B;inhibitor of BCL2, BCL-xL, and BCL-W"
"navitoclax:sorafenib (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2;BRAF;FLT3;KDR;RAF1","inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF, CRAF, and VEGFR2"
"navitoclax:piperlongumine (1:1 mol/mol)","BCL2;BCL2L1;BCL2L2","inhibitor of BCL2, BCL-xL, and BCL-W;natural product; modulator of ROS levels"
"SMER-3","CUL1;SKP1","inhibitor of E3-ubiquitin ligase"
"NVP-ADW742","IGF1R","inhibitor of insulin-like growth factor 1 receptor"
"clofarabine","","inducer of DNA damage"
"vorinostat:navitoclax (4:1 mol/mol)","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W"
"XL765","MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC","inhibitor of mTOR and PI3K kinase acitivities"
"ML258","BCL2L10","inhibitor of BIM-BCL-B interaction"
"SR1001","RORA;RORC","synthetic ROR ligand; suppressor of TH17 differentiation"
"bardoxolone methyl","","electrophilic inducer of the NFE2L2-KEAP1 pathway"
"BMS-270394","RARG","antagonist of retinoic acid receptor gamma"
"fluvastatin","HMGCR","inhibitor of HMG-CoA reductase"
"AZD4547","FGFR1;FGFR2;FGFR3","inhibitor of fibroblast growth factor receptors"
"hyperforin","TRPC6","agonist of calcium-permeable ion channels"
"NVP-231","CERK","inhibitor of ceramide kinase"
"MK-0752","APH1A;NCSTN;PSEN1;PSENEN","inhibitor of gamma-secretase"
"semagacestat","APH1A;NCSTN;PSEN1;PSENEN","inhibitor of gamma-secretase"
"bosutinib","ABL1;SRC","inhibitor of SRC and ABL1"
"temsirolimus","MTOR","inhibitor of mTOR"
"nelarabine","POLA1","deoxyguanosine analog; inhibitor of DNA synthesis"
"rigosertib","PIK3CA;PIK3CB;PLK1","inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta"
"PD318088","MAP2K1;MAP2K2","inhibitor of MEK1 and MEK2"
"KU-60019","ATM","inhibitor of ataxia telangiectasia mutated (ATM)"
"BIRB-796","MAPK11;MAPK11;MAPK14","inhibitor of p38 MAPK"
"KW-2449","AURKA;FLT3","inhibitor of FLT3 and AURKA"
"RAF265","BRAF;KDR","ihibitor of VEGFR2 and BRAF"
"silmitasertib","CSNK2A1;CSNK2A2","inhibitor of casein kinase 2"
"BRD-K03911514","","stapled helical peptide"
"BRD-K16130065","","stapled helical peptide"
"momelotinib","JAK1;JAK2","inhibitor of Janus kinases 1 and 2"
"CAL-101","PIK3CD","inhibitor of PI3K catalytic subunit delta"
"LY-2157299","TGFBR1","inhibitor of the transforming growth factor beta type 1 receptor"
"WP1130","UCHL5;USP14;USP5;USP9X","inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37"
"OSI-027","MTOR","inhibitor of mTORC1 and mTORC2"
"NVP-BSK805","JAK2","inhibitor of Janus kinase 2"
"erlotinib:PLX-4032 (2:1 mol/mol)","EGFR;ERBB2;BRAF","inhibitor of EGFR and HER2;inhibitor of BRAF"
"PIK-93","PIK3CG","inhibitor of PI3K catalytic subunit gamma"
"AZD7762","CHEK1;CHEK2","inhibitor of checkpoint kinases 1 and 2"
"birinapant","DIABLO;XIAP","SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)"
"KX2-391","SRC","peptide mimetic; inhibitor of SRC activity in cells"
"3-Cl-AHPC","NR0B2","binder of nuclear receptor SHP"
"BRD-K58730230","","stapled helical peptide"
"BRD-K27188169","","stapled helical peptide"
"KHS101","TACC3","binder of TACC3, a component of the centrosome and mitotic spindle"
"WAY-362450","NR1H4","agonist of farnesoid X receptor"
"JQ-1:vorinostat (2:1 mol/mol)","BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"BRD-K13185470","MCL1","stapled helical peptide targeting MCL1"
"crizotinib:PLX-4032 (2:1 mol/mol)","ALK;MET;BRAF","inhibitor of c-MET and ALK;inhibitor of BRAF"
"BRD-K27188169:navitoclax (2:1 mol/mol)","BCL2;BCL2L1;BCL2L2","stapled helical peptide;inhibitor of BCL2, BCL-xL, and BCL-W"
"BRD-K03536150","BAX","activator of BAX"
"BRD-K34222889","","analog of the natural product piperlongumine"
"linsitinib","IGF1R;INSR","inhibitor of insulin-like growth factor 1 receptor and insulin receptor"
"ML006","S1PR3","agonist of sphingosine 1-phosphate receptor 3"
"Bax channel blocker","BAX","inhibitor of BAX-mediated mitochondrial cytochrome c release"
"tretinoin","RARA;RARB;RARG","agonist of retinoid acid receptors"
"isoliquiritigenin","","natural product"
"NSC23766","RAC1;TIAM1;TRIO","inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1"
"N9-isopropylolomoucine","CCNB1;CDK1;CDK5;CDK5R1","inhibitor of CDK1/cyclin B and CDK5/p35 complexes"
"pifithrin-alpha","","inhibitor of p53-dependent signaling"
"BIX-01294","EHMT2","inhibitor of G9a histone methyltransferase"
"dexamethasone","NR3C1","agonist of glucocorticoid receptor"
"selumetinib","MAP2K1;MAP2K2","inhibitor of MEK1 and MEK2"
"ML029","","inhibitor of antigen receptor-mediated NFkappaB activity"
"CI-976","ACAT1","inhibitor of acetyl-CoA acetyltransferase I"
"necrostatin-1","RIPK1","inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway"
"AA-COCF3","FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D","inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase"
"TG-101348","JAK2","inhibitor of Janus kinase 2"
"pluripotin","MAPK1;RASAL1","promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK"
"BMS-536924","IGF1R;INSR","inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)"
"BRD-K09587429","","product of diversity oriented synthesis"
"tandutinib","FLT3;KIT","inhibitor of c-KIT and VEGFR3"
"TG-100-115","PIK3CD;PIK3CG","inhibitor of PI3K catalytic subunits delta and gamma"
"crizotinib","ALK;MET","inhibitor of c-MET and ALK"
"lapatinib","EGFR;ERBB2","inhibitor of EGFR and HER2"
"carboplatin:UNC0638 (2:1 mol/mol)","EHMT1;EHMT2","inducer of DNA damage;inhibitor of EHMT2 and GLP methyltransferase"
"selumetinib:JQ-1 (4:1 mol/mol)","MAP2K1;MAP2K2;BRDT","inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins"
"decitabine:carboplatin (1:1 mol/mol)","DNMT1","inhibitor of DNA methyltransferase;inducer of DNA damage"
"JQ-1:navitoclax (2:1 mol/mol)","BRDT;BCL2;BCL2L1;BCL2L2","inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2, BCL-xL, and BCL-W"
"elocalcitol","VDR","agonist of vitamin D receptor"
"cabozantinib","FLT3;KDR;MET;RET","inhibitor of c-MET, VEGFR2/3, and RET"
"phloretin","SLC5A1","natural product; inhibitor of glucose uptake"
"BRD-K26531177","","analog of the natural product piperlongumine"
"BMS-345541","IKBKB","inhibitor of IKK-2"
"cyclophosphamide","","DNA alkylator"
"niclosamide","STAT3","inhibitor of STAT3 signaling"
"gefitinib","AKT1;EGFR","inhibitor of EGFR and AKT1"
"vorinostat","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"AM-580","RARA","agonist of retinoic acid receptor alpha"
"Mdivi-1","DNM1","inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor"
"axitinib","FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB","inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
"navitoclax","BCL2;BCL2L1;BCL2L2","inhibitor of BCL2, BCL-xL, and BCL-W"
"Ki8751","KDR;KIT;PDGFRA","inhibitor of VEGFR2, c-KIT, and PDGFRA"
"oxaliplatin","","DNA alkylator; organoplatinum reagent"
"tosedostat","ANPEP;LAP3;NPEPPS","inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N"
"barasertib","AURKB","inhibitor of aurora kinase B"
"YL54","","stapled helical peptide"
"PF-184","IKBKB","inhibitor of IKK-2"
"AT7867","AKT1;AKT2;AKT3;RPS6KB2","inhibitor of AKT1/2/3 and S6K"
"PD 153035","EGFR","inhibitor of EGFR"
"tacedinaline","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"NVP-BEZ235","MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG","inhibitor of PI3K and mTOR kinase activity"
"omacetaxine mepesuccinate","","inhibitor of protein translation by preventing protein elongation"
"avrainvillamide","NPM1","natural product; inhibitor of nucleophosmin"
"BRD-K09344309","","screening hit"
"isonicotinohydroxamic acid","HDAC6","inhibitor of HDAC6"
"NSC19630","WRN","inhibitor of Werner syndrome helicase activity"
"LRRK2-IN-1","DCLK1;LRRK2","inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase"
"KH-CB19","CLK1;CLK4","inhibitor of CDC2-like kinases 1 and 4"
"abiraterone","CYP17A1","inhibitor of 17 alpha-hydroxylase and C17,20 lyase"
"KPT185","XPO1","inhibitor of exportin 1"
"pitstop2","CLTA;CLTB;CLTC;CLTCL1","inhibitor of clathrin and clathrin-independent endocytosis"
"R428","AXL","inhibitor of the tyrosine-protein kinase receptor UFO"
"ibrutinib","BTK","inhibitor of Bruton's tyrosine kinase"
"sotrastaurin","PRKCB","inhibitor of protein kinase C beta"
"A-804598","P2RX7","inhibitor of purinergic receptor P2X"
"COL-3","","analog of tetracycline"
"ABT-199","BCL2","inhibitor of BCL2"
"ETP-46464","ATM;ATR","inhibitor of serine/threonine-protein kinase ATR"
"marinopyrrole A","MCL1","natural product; putative inhibitor of MCL1"
"methylstat","KDM3A;KDM4A;KDM4B;KDM4C;KDM4D","inhibitor of lysine specific demethylases"
"BYL-719","PIK3CA","inhibitor of PI3K catalytic subunit alpha"
"GSK2636771","PIK3CB","inhibitor of PI3K catalytic subunit beta"
"JW-74","","inhibitor of WNT signaling"
"necrosulfonamide","","inhibitor of downstream signaling of RIP3 associated with MLKL"
"HBX-41108","USP7","inhibitor of the deubiquitinase activity of USP7"
"palmostatin B","LYPLA1","inhibitor of acyl-protein thioesterase 1"
"JW-55","TNKS","inhibitor of tankyrase"
"AT-406","XIAP","SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)"
"salermide","SIRT1;SIRT2","inhibitor of sirtuin 1 and sirtuin 2"
"WZ4002","EGFR","inhibitor of EGFR targeting T790M resistance"
"ML334 diastereomer","KEAP1;NFE2L2","inhibitor of KEAP1-NFE2L2 protein-protein interaction"
"GSK1059615","MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG","inhibitor of PI3K and mTOR kinase activity"
"BRD-K55473186","NOTCH1","stapled helical peptide targeting NOTCH1"
"VAF-347","AHR","inhibitor of aryl hydrocarbon receptor"
"BRD-M00053801","BCL2","inhibitor of BCL2"
"thalidomide","CRBN","immunomodulatory drug; binder of cereblon"
"MG-132","PSMB1;PSMB2;PSMB5;PSMD1;PSMD2","inhibitor of the proteosome"
"belinostat","HDAC1;HDAC2;HDAC3;HDAC6;HDAC8","inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
"O-6-benzylguanine","MGMT","inhibitor of O(6)-alkylguanine DNA alkyltransferases"
"BRD-K90370028","","screening hit"
"cediranib","FLT1;FLT4;KDR","inhibitor of VEGFRs"
"BRD-K48477130","","screening hit"
"AZD1480","JAK1;JAK2","inhibitor of Janus kinases 1 and 2"
"BRD-A05715709","IDH1","putative inhibitor of IDH1 R132H"
"docetaxel","","inhibitor of microtubule assembly"
"BRD-K99006945","","screening hit"
"tivantinib","MET","inhibitor of MET; inhibitor of microtubule assembly"
"trametinib","MAP2K1;MAP2K2","inhibitor of MEK1 and MEK2"
"RO4929097","APH1A;NCSTN;PSEN1;PSENEN","inhibitor of gamma-secretase"
"dinaciclib","CDK1;CDK2;CDK5;CDK9","inhibitor of cyclin-dependent kinases"
"MLN2480","ARAF;BRAF;RAF1","inhibitor of RAF kinases"
"BRD-K51831558","EZH2","inhibitor of enhancer of zeste polycomb repressive complex 2 subunit"
"istradefylline","ADORA2A","antagonist of the adenosine A2A receptor"
"MI-2","MEN1","binder of menin; inhibitor of menin-MLL fusion protein"
"BRD-K42260513","EZH2","inhibitor of enhancer of zeste polycomb repressive complex 2 subunit"
"alvocidib","CDK1;CDK2;CDK4;CDK6","inhibitor of cyclin-dependent kinases"
"CBB-1007","KDM1A","inhibitor of lysine-specific demethylase 1A (LSD1)"
"BRD-A86708339","","screening hit"
"PF-3758309","PAK4","inhibitor of serine/threonine p21-activating kinase 4"
"dabrafenib","BRAF","inhibitor of BRAF"
"SZ4TA2","BCL2L1","inhibitor of BCL-xL"
"AT13387","HSP90AA1","inhibitor of HSP90"
"BCL-LZH-4","","inhibitor of BCL2, BCL-xL, and MCL1"
"skepinone-L","MAPK14","inhibitor of p38 MAPK"
"PF-4800567 hydrochloride","CSNK1D;CSNK1E","inhibitor of casein kinase isoforms delta and epsilon"
"avicin D","","natural product"
"VX-680","AURKA;AURKB;AURKC","inhibitor of aurora kinases"
"BRD-K33514849","","screening hit"
"BRD-K01737880","","screening hit"
"bafilomycin A1","ATP6V0A1","inhibitor of the vacuolar-type H+-ATPase"
"SR8278","NR1D1","antagonist of Rev-ErbAalpha"
"GSK-J4","KDM6A;KDM6B","inhibitor of lysine-specific demethylases"
"BRD9876:MK-1775 (4:1 mol/mol)","WEE1","screening hit;inhibitor of WEE1"
"BRD-K30748066","CDK9","inhibitor of CDK9"
